Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7974.00  608124.00    563.00   1631.00        1.00               0.83        1.00   0.00   0.17         0.93       0.78  0.88
Developed              10667.00  585225.00  14268.00   8132.00        0.96               0.57        0.98   0.02   0.43         0.43       0.32  0.49
BarrenLand              1227.00  615081.00   1010.00    974.00        1.00               0.56        1.00   0.00   0.44         0.55       0.38  0.55
Forest                 77122.00  514965.00  13022.00  13183.00        0.96               0.85        0.98   0.02   0.15         0.86       0.75  0.85
Shrub/Scrub            82271.00  466311.00  37684.00  32026.00        0.89               0.72        0.93   0.07   0.28         0.69       0.54  0.70
Grassland/Herbaceous  132050.00  402401.00  27484.00  56357.00        0.86               0.70        0.94   0.06   0.30         0.83       0.61  0.76
Croplands             139877.00  431838.00  12721.00  33856.00        0.92               0.81        0.97   0.03   0.19         0.92       0.75  0.86
EmergentWetlands       12392.00  569606.00  32883.00   3411.00        0.94               0.78        0.95   0.05   0.22         0.27       0.25  0.41
LeafySpurge             3544.00  601617.00  11533.00   1598.00        0.98               0.69        0.98   0.02   0.31         0.24       0.21  0.35
