Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7933.00  608197.00    490.00   1672.00        1.00               0.83        1.00   0.00   0.17         0.94       0.79  0.88
Developed               9717.00  586394.00  13099.00   9082.00        0.96               0.52        0.98   0.02   0.48         0.43       0.30  0.47
BarrenLand              1193.00  615126.00    965.00   1008.00        1.00               0.54        1.00   0.00   0.46         0.55       0.38  0.55
Forest                 75915.00  515693.00  12294.00  14390.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            77354.00  468629.00  35366.00  36943.00        0.88               0.68        0.93   0.07   0.32         0.69       0.52  0.68
Grassland/Herbaceous  128145.00  402750.00  27135.00  60262.00        0.86               0.68        0.94   0.06   0.32         0.83       0.59  0.75
Croplands             137913.00  432454.00  12105.00  35820.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       12063.00  570447.00  32042.00   3740.00        0.94               0.76        0.95   0.05   0.24         0.27       0.25  0.40
LeafySpurge             4200.00  582787.00  30363.00    942.00        0.95               0.82        0.95   0.05   0.18         0.12       0.12  0.21
