Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7981.00  608137.00    550.00   1624.00        1.00               0.83        1.00   0.00   0.17         0.94       0.79  0.88
Developed              10167.00  586342.00  13151.00   8632.00        0.96               0.54        0.98   0.02   0.46         0.44       0.32  0.48
BarrenLand              1198.00  615076.00   1015.00   1003.00        1.00               0.54        1.00   0.00   0.46         0.54       0.37  0.54
Forest                 76424.00  515473.00  12514.00  13881.00        0.96               0.85        0.98   0.02   0.15         0.86       0.74  0.85
Shrub/Scrub            79396.00  467946.00  36049.00  34901.00        0.89               0.69        0.93   0.07   0.31         0.69       0.53  0.69
Grassland/Herbaceous  130822.00  401704.00  28181.00  57585.00        0.86               0.69        0.93   0.07   0.31         0.82       0.60  0.75
Croplands             139071.00  432146.00  12413.00  34662.00        0.92               0.80        0.97   0.03   0.20         0.92       0.75  0.86
EmergentWetlands       12262.00  569797.00  32692.00   3541.00        0.94               0.78        0.95   0.05   0.22         0.27       0.25  0.40
LeafySpurge             3944.00  592688.00  20462.00   1198.00        0.96               0.77        0.97   0.03   0.23         0.16       0.15  0.27
