Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7890.00  608210.00    477.00   1715.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9061.00  587559.00  11934.00   9738.00        0.96               0.48        0.98   0.02   0.52         0.43       0.29  0.46
BarrenLand              1146.00  615175.00    916.00   1055.00        1.00               0.52        1.00   0.00   0.48         0.56       0.37  0.54
Forest                 74991.00  516247.00  11740.00  15314.00        0.96               0.83        0.98   0.02   0.17         0.86       0.73  0.85
Shrub/Scrub            74570.00  469665.00  34330.00  39727.00        0.88               0.65        0.93   0.07   0.35         0.68       0.50  0.67
Grassland/Herbaceous  125648.00  403351.00  26534.00  62759.00        0.86               0.67        0.94   0.06   0.33         0.83       0.58  0.74
Croplands             137408.00  432505.00  12054.00  36325.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11899.00  571773.00  30716.00   3904.00        0.94               0.75        0.95   0.05   0.25         0.28       0.26  0.41
LeafySpurge             4408.00  570580.00  42570.00    734.00        0.93               0.86        0.93   0.07   0.14         0.09       0.09  0.17
