Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7898.00  608211.00    476.00   1707.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9199.00  587307.00  12186.00   9600.00        0.96               0.49        0.98   0.02   0.51         0.43       0.30  0.46
BarrenLand              1144.00  615146.00    945.00   1057.00        1.00               0.52        1.00   0.00   0.48         0.55       0.36  0.53
Forest                 75248.00  516058.00  11929.00  15057.00        0.96               0.83        0.98   0.02   0.17         0.86       0.74  0.85
Shrub/Scrub            74871.00  470112.00  33883.00  39426.00        0.88               0.66        0.93   0.07   0.34         0.69       0.51  0.67
Grassland/Herbaceous  127109.00  402223.00  27662.00  61298.00        0.86               0.67        0.94   0.06   0.33         0.82       0.59  0.74
Croplands             137527.00  432547.00  12012.00  36206.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11855.00  571633.00  30856.00   3948.00        0.94               0.75        0.95   0.05   0.25         0.28       0.25  0.41
LeafySpurge             4384.00  574042.00  39108.00    758.00        0.94               0.85        0.94   0.06   0.15         0.10       0.10  0.18
