Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7900.00  608229.00    458.00   1705.00        1.00               0.82        1.00   0.00   0.18         0.95       0.79  0.88
Developed               8958.00  587867.00  11626.00   9841.00        0.97               0.48        0.98   0.02   0.52         0.44       0.29  0.45
BarrenLand              1181.00  615036.00   1055.00   1020.00        1.00               0.54        1.00   0.00   0.46         0.53       0.36  0.53
Forest                 74514.00  516438.00  11549.00  15791.00        0.96               0.83        0.98   0.02   0.17         0.87       0.73  0.84
Shrub/Scrub            73698.00  470472.00  33523.00  40599.00        0.88               0.64        0.93   0.07   0.36         0.69       0.50  0.67
Grassland/Herbaceous  125229.00  403343.00  26542.00  63178.00        0.85               0.66        0.94   0.06   0.34         0.83       0.58  0.74
Croplands             136955.00  432687.00  11872.00  36778.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11826.00  571466.00  31023.00   3977.00        0.94               0.75        0.95   0.05   0.25         0.28       0.25  0.40
LeafySpurge             4463.00  567230.00  45920.00    679.00        0.92               0.87        0.93   0.07   0.13         0.09       0.09  0.16
