Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7863.00  608215.00    472.00   1742.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               8761.00  587745.00  11748.00  10038.00        0.96               0.47        0.98   0.02   0.53         0.43       0.29  0.45
BarrenLand              1173.00  615054.00   1037.00   1028.00        1.00               0.53        1.00   0.00   0.47         0.53       0.36  0.53
Forest                 74352.00  516500.00  11487.00  15953.00        0.96               0.82        0.98   0.02   0.18         0.87       0.73  0.84
Shrub/Scrub            73425.00  470384.00  33611.00  40872.00        0.88               0.64        0.93   0.07   0.36         0.69       0.50  0.66
Grassland/Herbaceous  124851.00  403207.00  26678.00  63556.00        0.85               0.66        0.94   0.06   0.34         0.82       0.58  0.73
Croplands             136837.00  432772.00  11787.00  36896.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11760.00  572253.00  30236.00   4043.00        0.94               0.74        0.95   0.05   0.26         0.28       0.26  0.41
LeafySpurge             4471.00  565407.00  47743.00    671.00        0.92               0.87        0.92   0.08   0.13         0.09       0.08  0.16
