Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7905.00  608179.00    508.00   1700.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9945.00  586158.00  13335.00   8854.00        0.96               0.53        0.98   0.02   0.47         0.43       0.31  0.47
BarrenLand              1196.00  615061.00   1030.00   1005.00        1.00               0.54        1.00   0.00   0.46         0.54       0.37  0.54
Forest                 76279.00  515499.00  12488.00  14026.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            78280.00  468368.00  35627.00  36017.00        0.88               0.68        0.93   0.07   0.32         0.69       0.52  0.69
Grassland/Herbaceous  129430.00  402469.00  27416.00  58977.00        0.86               0.69        0.94   0.06   0.31         0.83       0.60  0.75
Croplands             138434.00  432233.00  12326.00  35299.00        0.92               0.80        0.97   0.03   0.20         0.92       0.74  0.85
EmergentWetlands       12096.00  570392.00  32097.00   3707.00        0.94               0.77        0.95   0.05   0.23         0.27       0.25  0.40
LeafySpurge             4085.00  587335.00  25815.00   1057.00        0.96               0.79        0.96   0.04   0.21         0.14       0.13  0.23
