Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7926.00  608198.00    489.00   1679.00        1.00               0.83        1.00   0.00   0.17         0.94       0.79  0.88
Developed               9471.00  587102.00  12391.00   9328.00        0.96               0.50        0.98   0.02   0.50         0.43       0.30  0.47
BarrenLand              1177.00  615117.00    974.00   1024.00        1.00               0.53        1.00   0.00   0.47         0.55       0.37  0.54
Forest                 75742.00  515728.00  12259.00  14563.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            76061.00  469056.00  34939.00  38236.00        0.88               0.67        0.93   0.07   0.33         0.69       0.51  0.68
Grassland/Herbaceous  127154.00  403004.00  26881.00  61253.00        0.86               0.67        0.94   0.06   0.33         0.83       0.59  0.74
Croplands             137782.00  432472.00  12087.00  35951.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11959.00  571211.00  31278.00   3844.00        0.94               0.76        0.95   0.05   0.24         0.28       0.25  0.41
LeafySpurge             4298.00  577726.00  35424.00    844.00        0.94               0.84        0.94   0.06   0.16         0.11       0.11  0.19
