Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8006.00  608099.00    588.00   1599.00        1.00               0.83        1.00   0.00   0.17         0.93       0.79  0.88
Developed              10873.00  584860.00  14633.00   7926.00        0.96               0.58        0.98   0.02   0.42         0.43       0.33  0.49
BarrenLand              1233.00  615072.00   1019.00    968.00        1.00               0.56        1.00   0.00   0.44         0.55       0.38  0.55
Forest                 77275.00  514834.00  13153.00  13030.00        0.96               0.86        0.98   0.02   0.14         0.85       0.75  0.86
Shrub/Scrub            83292.00  465543.00  38452.00  31005.00        0.89               0.73        0.92   0.08   0.27         0.68       0.55  0.71
Grassland/Herbaceous  133032.00  401906.00  27979.00  55375.00        0.87               0.71        0.93   0.07   0.29         0.83       0.61  0.76
Croplands             139752.00  432075.00  12484.00  33981.00        0.92               0.80        0.97   0.03   0.20         0.92       0.75  0.86
EmergentWetlands       12430.00  568971.00  33518.00   3373.00        0.94               0.79        0.94   0.06   0.21         0.27       0.25  0.40
LeafySpurge             3175.00  605752.00   7398.00   1967.00        0.98               0.62        0.99   0.01   0.38         0.30       0.25  0.40
