Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8069.00  608049.00    638.00   1536.00        1.00               0.84        1.00   0.00   0.16         0.93       0.79  0.88
Developed              11245.00  583940.00  15553.00   7554.00        0.96               0.60        0.97   0.03   0.40         0.42       0.33  0.49
BarrenLand              1265.00  615031.00   1060.00    936.00        1.00               0.57        1.00   0.00   0.43         0.54       0.39  0.56
Forest                 77325.00  514700.00  13287.00  12980.00        0.96               0.86        0.97   0.03   0.14         0.85       0.75  0.85
Shrub/Scrub            85576.00  463818.00  40177.00  28721.00        0.89               0.75        0.92   0.08   0.25         0.68       0.55  0.71
Grassland/Herbaceous  134053.00  401863.00  28022.00  54354.00        0.87               0.71        0.93   0.07   0.29         0.83       0.62  0.76
Croplands             140170.00  431886.00  12673.00  33563.00        0.93               0.81        0.97   0.03   0.19         0.92       0.75  0.86
EmergentWetlands       12576.00  568712.00  33777.00   3227.00        0.94               0.80        0.94   0.06   0.20         0.27       0.25  0.40
LeafySpurge             1574.00  611898.00   1252.00   3568.00        0.99               0.31        1.00   0.00   0.69         0.56       0.25  0.40
