Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8010.00  608096.00    591.00   1595.00        1.00               0.83        1.00   0.00   0.17         0.93       0.79  0.88
Developed              11020.00  584583.00  14910.00   7779.00        0.96               0.59        0.98   0.02   0.41         0.42       0.33  0.49
BarrenLand              1261.00  614957.00   1134.00    940.00        1.00               0.57        1.00   0.00   0.43         0.53       0.38  0.55
Forest                 77280.00  514816.00  13171.00  13025.00        0.96               0.86        0.98   0.02   0.14         0.85       0.75  0.86
Shrub/Scrub            83906.00  465381.00  38614.00  30391.00        0.89               0.73        0.92   0.08   0.27         0.68       0.55  0.71
Grassland/Herbaceous  133553.00  401758.00  28127.00  54854.00        0.87               0.71        0.93   0.07   0.29         0.83       0.62  0.76
Croplands             140043.00  431964.00  12595.00  33690.00        0.93               0.81        0.97   0.03   0.19         0.92       0.75  0.86
EmergentWetlands       12548.00  569050.00  33439.00   3255.00        0.94               0.79        0.94   0.06   0.21         0.27       0.25  0.41
LeafySpurge             2895.00  607955.00   5195.00   2247.00        0.99               0.56        0.99   0.01   0.44         0.36       0.28  0.44
