Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7865.00  608213.00    474.00   1740.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9031.00  587441.00  12052.00   9768.00        0.96               0.48        0.98   0.02   0.52         0.43       0.29  0.45
BarrenLand              1173.00  615115.00    976.00   1028.00        1.00               0.53        1.00   0.00   0.47         0.55       0.37  0.54
Forest                 74657.00  516560.00  11427.00  15648.00        0.96               0.83        0.98   0.02   0.17         0.87       0.73  0.85
Shrub/Scrub            74493.00  469922.00  34073.00  39804.00        0.88               0.65        0.93   0.07   0.35         0.69       0.50  0.67
Grassland/Herbaceous  125427.00  403309.00  26576.00  62980.00        0.86               0.67        0.94   0.06   0.33         0.83       0.58  0.74
Croplands             136911.00  432916.00  11643.00  36822.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11881.00  571658.00  30831.00   3922.00        0.94               0.75        0.95   0.05   0.25         0.28       0.25  0.41
LeafySpurge             4428.00  568776.00  44374.00    714.00        0.93               0.86        0.93   0.07   0.14         0.09       0.09  0.16
