Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7977.00  608125.00    562.00   1628.00        1.00               0.83        1.00   0.00   0.17         0.93       0.78  0.88
Developed              10565.00  585156.00  14337.00   8234.00        0.96               0.56        0.98   0.02   0.44         0.42       0.32  0.48
BarrenLand              1231.00  615067.00   1024.00    970.00        1.00               0.56        1.00   0.00   0.44         0.55       0.38  0.55
Forest                 77081.00  515029.00  12958.00  13224.00        0.96               0.85        0.98   0.02   0.15         0.86       0.75  0.85
Shrub/Scrub            81017.00  466726.00  37269.00  33280.00        0.89               0.71        0.93   0.07   0.29         0.68       0.53  0.70
Grassland/Herbaceous  131414.00  402116.00  27769.00  56993.00        0.86               0.70        0.94   0.06   0.30         0.83       0.61  0.76
Croplands             139285.00  432102.00  12457.00  34448.00        0.92               0.80        0.97   0.03   0.20         0.92       0.75  0.86
EmergentWetlands       12290.00  570291.00  32198.00   3513.00        0.94               0.78        0.95   0.05   0.22         0.28       0.26  0.41
LeafySpurge             3736.00  598028.00  15122.00   1406.00        0.97               0.73        0.98   0.02   0.27         0.20       0.18  0.31
