Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8508.00  607549.00   1138.00   1097.00        1.00               0.89        1.00   0.00   0.11         0.88       0.79  0.88
Developed               7627.00  594571.00   4922.00  11172.00        0.97               0.41        0.99   0.01   0.59         0.61       0.32  0.49
BarrenLand               925.00  615669.00    422.00   1276.00        1.00               0.42        1.00   0.00   0.58         0.69       0.35  0.52
Forest                 80044.00  513520.00  14467.00  10261.00        0.96               0.89        0.97   0.03   0.11         0.85       0.76  0.87
Shrub/Scrub            81437.00  472765.00  31230.00  32860.00        0.90               0.71        0.94   0.06   0.29         0.72       0.56  0.72
Grassland/Herbaceous  152922.00  386242.00  43643.00  35485.00        0.87               0.81        0.90   0.10   0.19         0.78       0.66  0.79
Croplands             155240.00  421484.00  23075.00  18493.00        0.93               0.89        0.95   0.05   0.11         0.87       0.79  0.88
EmergentWetlands        6602.00  598133.00   4356.00   9201.00        0.98               0.42        0.99   0.01   0.58         0.60       0.33  0.49
LeafySpurge             1159.00  612575.00    575.00   3983.00        0.99               0.23        1.00   0.00   0.77         0.67       0.20  0.34
