Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7946.00  608165.00    522.00   1659.00        1.00               0.83        1.00   0.00   0.17         0.94       0.78  0.88
Developed               9761.00  586748.00  12745.00   9038.00        0.96               0.52        0.98   0.02   0.48         0.43       0.31  0.47
BarrenLand              1162.00  615118.00    973.00   1039.00        1.00               0.53        1.00   0.00   0.47         0.54       0.37  0.54
Forest                 75913.00  515675.00  12312.00  14392.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            78042.00  467786.00  36209.00  36255.00        0.88               0.68        0.93   0.07   0.32         0.68       0.52  0.68
Grassland/Herbaceous  127969.00  402806.00  27079.00  60438.00        0.86               0.68        0.94   0.06   0.32         0.83       0.59  0.75
Croplands             138600.00  432233.00  12326.00  35133.00        0.92               0.80        0.97   0.03   0.20         0.92       0.74  0.85
EmergentWetlands       12120.00  570867.00  31622.00   3683.00        0.94               0.77        0.95   0.05   0.23         0.28       0.26  0.41
LeafySpurge             4172.00  584331.00  28819.00    970.00        0.95               0.81        0.95   0.05   0.19         0.13       0.12  0.22
