Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7844.00  608242.00    445.00   1761.00        1.00               0.82        1.00   0.00   0.18         0.95       0.78  0.88
Developed               8819.00  587937.00  11556.00   9980.00        0.97               0.47        0.98   0.02   0.53         0.43       0.29  0.45
BarrenLand              1173.00  615105.00    986.00   1028.00        1.00               0.53        1.00   0.00   0.47         0.54       0.37  0.54
Forest                 74401.00  516500.00  11487.00  15904.00        0.96               0.82        0.98   0.02   0.18         0.87       0.73  0.84
Shrub/Scrub            73668.00  470426.00  33569.00  40629.00        0.88               0.64        0.93   0.07   0.36         0.69       0.50  0.67
Grassland/Herbaceous  125392.00  402945.00  26940.00  63015.00        0.85               0.67        0.94   0.06   0.33         0.82       0.58  0.74
Croplands             137068.00  432640.00  11919.00  36665.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11867.00  571630.00  30859.00   3936.00        0.94               0.75        0.95   0.05   0.25         0.28       0.25  0.41
LeafySpurge             4449.00  567301.00  45849.00    693.00        0.92               0.87        0.93   0.07   0.13         0.09       0.09  0.16
