Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7922.00  608198.00    489.00   1683.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9584.00  586675.00  12818.00   9215.00        0.96               0.51        0.98   0.02   0.49         0.43       0.30  0.47
BarrenLand              1153.00  615159.00    932.00   1048.00        1.00               0.52        1.00   0.00   0.48         0.55       0.37  0.54
Forest                 75640.00  515849.00  12138.00  14665.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            77026.00  468416.00  35579.00  37271.00        0.88               0.67        0.93   0.07   0.33         0.68       0.51  0.68
Grassland/Herbaceous  127845.00  402787.00  27098.00  60562.00        0.86               0.68        0.94   0.06   0.32         0.83       0.59  0.74
Croplands             137792.00  432463.00  12096.00  35941.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       12063.00  570599.00  31890.00   3740.00        0.94               0.76        0.95   0.05   0.24         0.27       0.25  0.40
LeafySpurge             4255.00  581178.00  31972.00    887.00        0.95               0.83        0.95   0.05   0.17         0.12       0.11  0.21
