Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7924.00  608189.00    498.00   1681.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9869.00  586301.00  13192.00   8930.00        0.96               0.52        0.98   0.02   0.48         0.43       0.31  0.47
BarrenLand              1166.00  615161.00    930.00   1035.00        1.00               0.53        1.00   0.00   0.47         0.56       0.37  0.54
Forest                 76059.00  515607.00  12380.00  14246.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            77890.00  468129.00  35866.00  36407.00        0.88               0.68        0.93   0.07   0.32         0.68       0.52  0.68
Grassland/Herbaceous  128602.00  402398.00  27487.00  59805.00        0.86               0.68        0.94   0.06   0.32         0.82       0.60  0.75
Croplands             137966.00  432618.00  11941.00  35767.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       12159.00  570112.00  32377.00   3644.00        0.94               0.77        0.95   0.05   0.23         0.27       0.25  0.40
LeafySpurge             4165.00  585329.00  27821.00    977.00        0.95               0.81        0.95   0.05   0.19         0.13       0.13  0.22
