Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7972.00  608149.00    538.00   1633.00        1.00               0.83        1.00   0.00   0.17         0.94       0.79  0.88
Developed              10254.00  585716.00  13777.00   8545.00        0.96               0.55        0.98   0.02   0.45         0.43       0.31  0.48
BarrenLand              1194.00  615050.00   1041.00   1007.00        1.00               0.54        1.00   0.00   0.46         0.53       0.37  0.54
Forest                 76672.00  515181.00  12806.00  13633.00        0.96               0.85        0.98   0.02   0.15         0.86       0.74  0.85
Shrub/Scrub            79893.00  467410.00  36585.00  34404.00        0.89               0.70        0.93   0.07   0.30         0.69       0.53  0.69
Grassland/Herbaceous  130898.00  402074.00  27811.00  57509.00        0.86               0.69        0.94   0.06   0.31         0.82       0.61  0.75
Croplands             139038.00  432085.00  12474.00  34695.00        0.92               0.80        0.97   0.03   0.20         0.92       0.75  0.85
EmergentWetlands       12256.00  570106.00  32383.00   3547.00        0.94               0.78        0.95   0.05   0.22         0.27       0.25  0.41
LeafySpurge             3898.00  594348.00  18802.00   1244.00        0.97               0.76        0.97   0.03   0.24         0.17       0.16  0.28
