Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7981.00  608138.00    549.00   1624.00        1.00               0.83        1.00   0.00   0.17         0.94       0.79  0.88
Developed              10418.00  585676.00  13817.00   8381.00        0.96               0.55        0.98   0.02   0.45         0.43       0.32  0.48
BarrenLand              1200.00  615088.00   1003.00   1001.00        1.00               0.55        1.00   0.00   0.45         0.54       0.37  0.54
Forest                 76697.00  515192.00  12795.00  13608.00        0.96               0.85        0.98   0.02   0.15         0.86       0.74  0.85
Shrub/Scrub            80460.00  467304.00  36691.00  33837.00        0.89               0.70        0.93   0.07   0.30         0.69       0.53  0.70
Grassland/Herbaceous  131431.00  401857.00  28028.00  56976.00        0.86               0.70        0.93   0.07   0.30         0.82       0.61  0.76
Croplands             139358.00  432215.00  12344.00  34375.00        0.92               0.80        0.97   0.03   0.20         0.92       0.75  0.86
EmergentWetlands       12306.00  569944.00  32545.00   3497.00        0.94               0.78        0.95   0.05   0.22         0.27       0.25  0.41
LeafySpurge             3831.00  596312.00  16838.00   1311.00        0.97               0.75        0.97   0.03   0.25         0.19       0.17  0.30
