Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7958.00  608156.00    531.00   1647.00        1.00               0.83        1.00   0.00   0.17         0.94       0.79  0.88
Developed              10214.00  585753.00  13740.00   8585.00        0.96               0.54        0.98   0.02   0.46         0.43       0.31  0.48
BarrenLand              1169.00  615172.00    919.00   1032.00        1.00               0.53        1.00   0.00   0.47         0.56       0.37  0.55
Forest                 76444.00  515362.00  12625.00  13861.00        0.96               0.85        0.98   0.02   0.15         0.86       0.74  0.85
Shrub/Scrub            79404.00  467364.00  36631.00  34893.00        0.88               0.69        0.93   0.07   0.31         0.68       0.53  0.69
Grassland/Herbaceous  129445.00  402532.00  27353.00  58962.00        0.86               0.69        0.94   0.06   0.31         0.83       0.60  0.75
Croplands             138583.00  432366.00  12193.00  35150.00        0.92               0.80        0.97   0.03   0.20         0.92       0.75  0.85
EmergentWetlands       12200.00  570226.00  32263.00   3603.00        0.94               0.77        0.95   0.05   0.23         0.27       0.25  0.40
LeafySpurge             4035.00  590565.00  22585.00   1107.00        0.96               0.78        0.96   0.04   0.22         0.15       0.15  0.25
