Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8529.00  607546.00   1141.00   1076.00        1.00               0.89        1.00   0.00   0.11         0.88       0.79  0.88
Developed               7651.00  594584.00   4909.00  11148.00        0.97               0.41        0.99   0.01   0.59         0.61       0.32  0.49
BarrenLand               952.00  615674.00    417.00   1249.00        1.00               0.43        1.00   0.00   0.57         0.70       0.36  0.53
Forest                 80069.00  513505.00  14482.00  10236.00        0.96               0.89        0.97   0.03   0.11         0.85       0.76  0.87
Shrub/Scrub            81386.00  472868.00  31127.00  32911.00        0.90               0.71        0.94   0.06   0.29         0.72       0.56  0.72
Grassland/Herbaceous  152995.00  386339.00  43546.00  35412.00        0.87               0.81        0.90   0.10   0.19         0.78       0.66  0.79
Croplands             155292.00  421378.00  23181.00  18441.00        0.93               0.89        0.95   0.05   0.11         0.87       0.79  0.88
EmergentWetlands        6573.00  598148.00   4341.00   9230.00        0.98               0.42        0.99   0.01   0.58         0.60       0.33  0.49
LeafySpurge             1147.00  612596.00    554.00   3995.00        0.99               0.22        1.00   0.00   0.78         0.67       0.20  0.34
