Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7919.00  608200.00    487.00   1686.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9308.00  587452.00  12041.00   9491.00        0.97               0.50        0.98   0.02   0.50         0.44       0.30  0.46
BarrenLand              1170.00  615114.00    977.00   1031.00        1.00               0.53        1.00   0.00   0.47         0.54       0.37  0.54
Forest                 75350.00  516110.00  11877.00  14955.00        0.96               0.83        0.98   0.02   0.17         0.86       0.74  0.85
Shrub/Scrub            75652.00  469284.00  34711.00  38645.00        0.88               0.66        0.93   0.07   0.34         0.69       0.51  0.67
Grassland/Herbaceous  126706.00  402808.00  27077.00  61701.00        0.86               0.67        0.94   0.06   0.33         0.82       0.59  0.74
Croplands             138007.00  432360.00  12199.00  35726.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11989.00  571441.00  31048.00   3814.00        0.94               0.76        0.95   0.05   0.24         0.28       0.26  0.41
LeafySpurge             4323.00  575699.00  37451.00    819.00        0.94               0.84        0.94   0.06   0.16         0.10       0.10  0.18
