Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7881.00  608212.00    475.00   1724.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9170.00  587436.00  12057.00   9629.00        0.96               0.49        0.98   0.02   0.51         0.43       0.30  0.46
BarrenLand              1160.00  615087.00   1004.00   1041.00        1.00               0.53        1.00   0.00   0.47         0.54       0.36  0.53
Forest                 74999.00  516054.00  11933.00  15306.00        0.96               0.83        0.98   0.02   0.17         0.86       0.73  0.85
Shrub/Scrub            74605.00  470008.00  33987.00  39692.00        0.88               0.65        0.93   0.07   0.35         0.69       0.50  0.67
Grassland/Herbaceous  126123.00  403277.00  26608.00  62284.00        0.86               0.67        0.94   0.06   0.33         0.83       0.59  0.74
Croplands             137605.00  432542.00  12017.00  36128.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11911.00  571146.00  31343.00   3892.00        0.94               0.75        0.95   0.05   0.25         0.28       0.25  0.40
LeafySpurge             4393.00  572129.00  41021.00    749.00        0.93               0.85        0.93   0.07   0.15         0.10       0.10  0.17
