Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7999.00  608104.00    583.00   1606.00        1.00               0.83        1.00   0.00   0.17         0.93       0.79  0.88
Developed              10804.00  585134.00  14359.00   7995.00        0.96               0.57        0.98   0.02   0.43         0.43       0.33  0.49
BarrenLand              1231.00  615029.00   1062.00    970.00        1.00               0.56        1.00   0.00   0.44         0.54       0.38  0.55
Forest                 77351.00  514849.00  13138.00  12954.00        0.96               0.86        0.98   0.02   0.14         0.85       0.75  0.86
Shrub/Scrub            82528.00  466380.00  37615.00  31769.00        0.89               0.72        0.93   0.07   0.28         0.69       0.54  0.70
Grassland/Herbaceous  133070.00  401827.00  28058.00  55337.00        0.87               0.71        0.93   0.07   0.29         0.83       0.61  0.76
Croplands             139992.00  431809.00  12750.00  33741.00        0.92               0.81        0.97   0.03   0.19         0.92       0.75  0.86
EmergentWetlands       12377.00  569674.00  32815.00   3426.00        0.94               0.78        0.95   0.05   0.22         0.27       0.25  0.41
LeafySpurge             3396.00  603986.00   9164.00   1746.00        0.98               0.66        0.99   0.01   0.34         0.27       0.24  0.38
