Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8507.00  607530.00   1157.00   1098.00        1.00               0.89        1.00   0.00   0.11         0.88       0.79  0.88
Developed               7593.00  594739.00   4754.00  11206.00        0.97               0.40        0.99   0.01   0.60         0.61       0.32  0.49
BarrenLand               970.00  615684.00    407.00   1231.00        1.00               0.44        1.00   0.00   0.56         0.70       0.37  0.54
Forest                 79947.00  513705.00  14282.00  10358.00        0.96               0.89        0.97   0.03   0.11         0.85       0.76  0.87
Shrub/Scrub            80922.00  473385.00  30610.00  33375.00        0.90               0.71        0.94   0.06   0.29         0.73       0.56  0.72
Grassland/Herbaceous  153302.00  385748.00  44137.00  35105.00        0.87               0.81        0.90   0.10   0.19         0.78       0.66  0.79
Croplands             155420.00  421182.00  23377.00  18313.00        0.93               0.89        0.95   0.05   0.11         0.87       0.79  0.88
EmergentWetlands        6686.00  598011.00   4478.00   9117.00        0.98               0.42        0.99   0.01   0.58         0.60       0.33  0.50
LeafySpurge             1151.00  612558.00    592.00   3991.00        0.99               0.22        1.00   0.00   0.78         0.66       0.20  0.33
