Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8514.00  607552.00   1135.00   1091.00        1.00               0.89        1.00   0.00   0.11         0.88       0.79  0.88
Developed               7620.00  594474.00   5019.00  11179.00        0.97               0.41        0.99   0.01   0.59         0.60       0.32  0.48
BarrenLand               945.00  615668.00    423.00   1256.00        1.00               0.43        1.00   0.00   0.57         0.69       0.36  0.53
Forest                 79946.00  513656.00  14331.00  10359.00        0.96               0.89        0.97   0.03   0.11         0.85       0.76  0.87
Shrub/Scrub            81437.00  472865.00  31130.00  32860.00        0.90               0.71        0.94   0.06   0.29         0.72       0.56  0.72
Grassland/Herbaceous  153004.00  386128.00  43757.00  35403.00        0.87               0.81        0.90   0.10   0.19         0.78       0.66  0.79
Croplands             155058.00  421458.00  23101.00  18675.00        0.93               0.89        0.95   0.05   0.11         0.87       0.79  0.88
EmergentWetlands        6651.00  598052.00   4437.00   9152.00        0.98               0.42        0.99   0.01   0.58         0.60       0.33  0.49
LeafySpurge             1214.00  612580.00    570.00   3928.00        0.99               0.24        1.00   0.00   0.76         0.68       0.21  0.35
