Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8032.00  608090.00    597.00   1573.00        1.00               0.84        1.00   0.00   0.16         0.93       0.79  0.88
Developed              11170.00  584382.00  15111.00   7629.00        0.96               0.59        0.97   0.03   0.41         0.43       0.33  0.50
BarrenLand              1262.00  614982.00   1109.00    939.00        1.00               0.57        1.00   0.00   0.43         0.53       0.38  0.55
Forest                 77333.00  514817.00  13170.00  12972.00        0.96               0.86        0.98   0.02   0.14         0.85       0.75  0.86
Shrub/Scrub            84690.00  464512.00  39483.00  29607.00        0.89               0.74        0.92   0.08   0.26         0.68       0.55  0.71
Grassland/Herbaceous  133751.00  401674.00  28211.00  54656.00        0.87               0.71        0.93   0.07   0.29         0.83       0.62  0.76
Croplands             140136.00  432002.00  12557.00  33597.00        0.93               0.81        0.97   0.03   0.19         0.92       0.75  0.86
EmergentWetlands       12552.00  569082.00  33407.00   3251.00        0.94               0.79        0.94   0.06   0.21         0.27       0.26  0.41
LeafySpurge             2456.00  609885.00   3265.00   2686.00        0.99               0.48        0.99   0.01   0.52         0.43       0.29  0.45
