Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8501.00  607554.00   1133.00   1104.00        1.00               0.89        1.00   0.00   0.11         0.88       0.79  0.88
Developed               7616.00  594522.00   4971.00  11183.00        0.97               0.41        0.99   0.01   0.59         0.61       0.32  0.49
BarrenLand               932.00  615684.00    407.00   1269.00        1.00               0.42        1.00   0.00   0.58         0.70       0.36  0.53
Forest                 80002.00  513614.00  14373.00  10303.00        0.96               0.89        0.97   0.03   0.11         0.85       0.76  0.87
Shrub/Scrub            81325.00  472896.00  31099.00  32972.00        0.90               0.71        0.94   0.06   0.29         0.72       0.56  0.72
Grassland/Herbaceous  152946.00  386200.00  43685.00  35461.00        0.87               0.81        0.90   0.10   0.19         0.78       0.66  0.79
Croplands             155286.00  421351.00  23208.00  18447.00        0.93               0.89        0.95   0.05   0.11         0.87       0.79  0.88
EmergentWetlands        6643.00  598037.00   4452.00   9160.00        0.98               0.42        0.99   0.01   0.58         0.60       0.33  0.49
LeafySpurge             1163.00  612600.00    550.00   3979.00        0.99               0.23        1.00   0.00   0.77         0.68       0.20  0.34
